name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
Potomac Electric Power Co,DC,3108601.0,257913.0,15270.0,Investor Owned,55,0.49,112.2449,772.0,0.0,RFC,0.0,9601857.0,PJM,0.0,0.0,0.0,0.0,25268.0,272.0,0.0,0.0,0.0,0.0,0.008749916763199908,9.79710212358431
Potomac Electric Power Co,MD,5925660.0,456699.0,15270.0,Investor Owned,60,0.74,81.081081,719.0,0.0,0,0.0,0.0,PJM,0.0,0.0,0.0,0.0,337017.0,31704.0,0.0,0.0,0.0,0.0,0.535029009426798,73.7941182266657
Powell Valley Electric Coop,TN,413789.0,24152.0,15293.0,Cooperative,204.758,3.101,66.029668,21.0,0.0,SERC,0.0,577587.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Powell Valley Electric Coop,VA,133236.0,8207.0,15293.0,Cooperative,87.754,1.329,66.030098,11.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polk-Burnett Electric Coop,WI,236611.0,20800.0,15344.0,Cooperative,34.8,0.389,89.460154,54.0,0.0,MRO,0.0,250528.0,MISO,132.688,58.0,191.456,854.0,7113.0,0.0,0.0560785424177236,0.024512807942149776,0.08091593374779701,0.3609299652171708,0.0,34.19711538461539
City of Princeton - (KY),KY,108220.0,3848.0,15386.0,Municipal,5.263,0.095,55.4,9.0,0.0,SERC,0.0,112029.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Princeton Public Utils Comm,MN,52193.0,2433.0,15387.0,Municipal,7.196,0.085,84.658824,16.0,16.0,MRO,794.0,55384.0,0,0.0,0.0,0.0,1432.2,551.0,7.5,0.0,0.0,0.0,2.74404613645508,0.014369743068993926,22.646937936703658
Prince George Electric Coop,VA,344906.0,11898.0,15410.0,Cooperative,123.22,.,.,33.0,0.0,SERC,0.0,359868.0,PJM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Provo City Corp,UT,765747.0,37291.0,15444.0,Municipal,48,0.758,63.324538,32.0,0.0,WECC,0.0,784995.0,PACE,2493.99,0.0,2493.99,0.0,0.0,0.0,0.32569373435351356,0.0,0.32569373435351356,0.0,0.0,0.0
Public Service Co of Colorado,CO,29156848.0,1499395.0,15466.0,Investor Owned,92.694,0.875,105.936,793.0,30.0,WECC,23942892.0,22572657.0,PSCO,0.0,0.0,0.0,595454.0,198748.0,112.731,0.0,0.0,0.0,2.042244072473129,0.00038663644300645936,13.255212935884138
"Duke Energy Indiana, LLC",IN,27836983.0,840116.0,15470.0,Investor Owned,140,1.06,132.07547,1253.0,0.0,RFC,21144343.0,11947586.0,MISO,0.0,0.0,0.0,202050.14,104.0,0.0,0.0,0.0,0.0,0.7258334712493808,0.0,0.012379242866461299
Public Service Co of NH,NH,3338801.0,400893.0,15472.0,Investor Owned,229.61,1.197,191.82122,377.0,0.0,NPCC,0.0,4431573.0,ISNE,0.0,0.0,0.0,96651.536,40.0,5.0,0.0,0.0,0.0,2.8947977432617273,0.00014975435792669286,0.0099777247295413
Public Service Co of NM,NM,9013639.0,530259.0,15473.0,Investor Owned,103.39,0.887,116.56144,492.0,376.0,WECC,9577698.0,3165610.0,PNM,0.0,0.0,0.0,77935.0,44412.0,304.0,0.0,0.0,0.0,0.864634139441351,0.0033726666887813014,8.375529693979734
Public Service Co of Oklahoma,OK,18555555.0,557421.0,15474.0,Investor Owned,125.1,1.322,94.629349,769.0,75.0,SPP,6937724.0,14195742.0,SWPP,264.257,0.095,264.352,133353.0,16570.0,47.0,0.001424139563596993,5.119760632328162e-07,0.0014246515396602257,0.7186688837924815,0.00025329342075728804,2.9726185414614807
Public Service Elec & Gas Co,NJ,21560363.0,2034027.0,15477.0,Investor Owned,48.11,0.67,71.80597,2943.0,0.0,RFC,159192.0,22675318.0,PJM,0.0,0.0,0.0,32934.726,0.0,0.0,0.0,0.0,0.0,0.15275589747723636,0.0,0.0
Puget Sound Energy Inc,WA,20833230.0,1165611.0,15500.0,Investor Owned,136,0.96,141.66667,1123.0,42.0,WECC,13420042.0,15771178.0,PSEI,0.0,0.0,0.0,253034.424,0.0,0.0,0.0,0.0,0.0,1.214571259473447,0.0,0.0
City of Pulaski - (TN),TN,423128.0,14601.0,15507.0,Municipal,123,1.61,76.397516,34.0,0.0,SERC,0.0,444990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randolph Electric Member Corp,NC,516382.0,32223.0,15671.0,Cooperative,95.759,1.363,70.256053,73.0,59.0,SERC,0.0,544582.0,0,0.0,0.0,0.0,810.0,238.0,0.0,0.0,0.0,0.0,0.15686061868926493,0.0,0.7386028613102442
Rayle Electric Membership Corp,GA,273000.0,18555.0,15700.0,Cooperative,170.219,2.015,84.475931,50.0,0.0,SERC,0.0,290289.0,SOCO,100.558,0.0,100.558,0.0,0.0,0.0,0.03683443223443224,0.0,0.03683443223443224,0.0,0.0,0.0
Town of Reading - (MA),MA,647221.0,29775.0,15748.0,Municipal,16.399,0.255,64.309804,27.0,24.0,NPCC,299.0,671071.0,ISNE,929.652,0.0,929.652,1963.349,19.0,0.0,0.14363749013088267,0.0,0.14363749013088267,0.3033506329368176,0.0,0.06381192275398825
Redwood Electric Coop,MN,134802.0,4449.0,15750.0,Cooperative,23.2,0.374,62.032086,42.0,0.0,MRO,0.0,141375.0,MISO,101.84,43.278,145.118,0.0,0.0,0.0,0.07554784053649055,0.032104864912983484,0.10765270544947404,0.0,0.0,0.0
City of Redding - (CA),CA,719486.0,43879.0,15783.0,Municipal,77.4,0.874,88.558352,68.0,0.0,WECC,257928.0,814370.0,BANC,0.0,0.0,0.0,5421.0,0.0,0.0,0.0,0.0,0.0,0.753454549497836,0.0,0.0
Renville-Sibley Coop Pwr Assn,MN,163161.0,1882.0,15845.0,Cooperative,91.143,0.875,104.16343,36.0,0.0,MRO,0.0,166747.0,MISO,164.015,9.08,173.329,0.0,0.0,0.0,0.10052340939317606,0.005565055374752545,0.1062318813932251,0.0,0.0,0.0
Rice Lake Utilities,WI,159181.0,5988.0,15938.0,Municipal,8.94,.,.,6.0,6.0,MRO,0.0,164164.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Richland - (WA),WA,911106.0,24966.0,15979.0,Municipal,10.846,0.363,29.878788,74.0,0.0,WECC,0.0,1003797.0,BPAT,968.405,0.0,968.405,0.0,0.0,0.0,0.10628894991362146,0.0,0.10628894991362146,0.0,0.0,0.0
"Rio Grande Electric Coop, Inc",TX,509675.0,13324.0,16057.0,Cooperative,281.713,.,.,56.0,0.0,TRE,0.0,547473.0,ERCO,130.845,1.572,132.417,0.0,0.0,0.0,0.02567224211507333,0.0003084318438220435,0.025980673958895372,0.0,0.0,0.0
Riverland Energy Cooperative,WI,281108.0,18259.0,16060.0,Cooperative,129.23,0.776,166.53351,76.0,0.0,MRO,0.0,292574.0,0,0.0,0.0,0.0,3084.0,7301.0,0.0,0.0,0.0,0.0,1.097087240491199,0.0,39.985760446902894
City of River Falls,WI,126660.0,6605.0,16082.0,Municipal,24.109,0.176,136.98295,20.0,20.0,MISO,1626.0,128083.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Riverside - (CA),CA,2105661.0,110439.0,16088.0,Municipal,64.7,0.64,101.09375,138.0,138.0,WECC,100407.0,2124663.0,CISO,555.0,0.0,555.0,17327.0,0.0,0.0,0.026357519087830378,0.0,0.026357519087830378,0.8228769968195261,0.0,0.0
Roanoke Electric Member Corp,NC,272893.0,14187.0,16101.0,Cooperative,264.2,1.533,172.34181,42.0,0.0,SERC,0.0,308415.0,PJM,3.147,0.0,3.147,668.0,629.0,0.1,0.0011531992392622749,0.0,0.0011531992392622749,0.2447845858999681,3.664439908682158e-05,4.4336364277155145
"Navasota Valley Elec Coop, Inc",TX,363587.0,19859.0,16146.0,Cooperative,570.86,3.538,161.35105,53.0,52.0,TRE,0.0,387401.0,ERCO,45.01,0.0,45.01,0.0,0.0,0.0,0.012379430507691419,0.0,0.012379430507691419,0.0,0.0,0.0
Rochester Public Utilities,MN,1174458.0,55919.0,16181.0,Municipal,39.171,0.613,63.900489,80.0,44.0,MRO,74651.0,1204808.0,MISO,852.753,0.093,852.846,20876.0,7887.0,271.0,0.0726082158748972,7.91854625708199e-06,0.07261613442115426,1.7775007705682109,0.023074473501819563,14.104329476564317
City of Rock Hill - (SC),SC,849164.0,39471.0,16195.0,Municipal,92.82,1.502,61.797603,38.0,0.0,SERC,0.0,887105.0,DUK,0.0,0.0,0.0,0.0,3122.0,0.0,0.0,0.0,0.0,0.0,0.0,7.909604519774012
