year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_cust_pct
2019.0,El Paso Electric Co,TX,6330716.0,328756.0,5701.0,Investor Owned,76.386,0.972,78.58642,292.0,272.0,WECC,10245719.0,2062465.0,5804.519,0.0,5804.519,23982.0,1283.0,62.0,0.09168819135149958,0.0,0.09168819135149958,0.3788197101244156,0.3902590370974218
2019.0,Empire District Electric Co,MO,4210798.0,155425.0,5860.0,Investor Owned,138.16,1.193,115.80889,262.0,0.0,SPP,5036956.0,1517778.0,3207.996,0.0,3207.996,7323.0,2.0,0.0,0.07618498916357422,0.0,0.07618498916357422,0.1739100284554139,0.0012867942737654818
2019.0,Flathead Electric Coop Inc,MT,1457797.0,68218.0,6395.0,Cooperative,136.74,1.45,94.303448,87.0,0.0,WECC,10800.0,1523903.0,0.0,0.0,0.0,9306.0,3052.0,0.0,0.0,0.0,0.0,0.6383604850332385,4.473892521035504
2019.0,Florida Power & Light Co,FL,111955723.0,5061483.0,6452.0,Investor Owned,51.46,0.6,85.766667,3421.0,2787.0,FRCC,126508512.0,2504363.0,71653.486,4.333,72242.219,51394.0,724424.0,7572.0,0.06400162857239554,3.870280039190136e-06,0.06452749092603333,0.04590564789617767,14.312485095771338
2019.0,Freeborn-Mower Coop Services,MN,496572.0,20904.0,6782.0,Cooperative,84.4,0.91,92.747253,83.0,32.0,MRO,0.0,510956.0,1218.021,304.733,1522.754,8820.0,1658.0,0.0,0.24528587999323362,0.061367334444954603,0.3066532144381882,1.7761774727531958,7.931496364332186
2019.0,City of Greenville - (TX),TX,523756.0,15038.0,7634.0,Municipal,8.331,0.116,71.818966,35.0,35.0,TRE,48005.0,695072.0,0.0,0.0,0.0,378.0,1.0,1212.62,0.0,0.0,0.0,0.07217101092875308,0.006649820454847719
2019.0,"Gulf Coast Electric Coop, Inc",FL,345954.0,20316.0,7785.0,Cooperative,574.822,4.44,129.46441,37.0,0.0,SERC,0.0,362589.0,0.0,0.0,0.0,107.0,756.0,0.657,0.0,0.0,0.0,0.030928967434976903,3.7212049616066154
2019.0,Heartland Power Coop,IA,311733.0,5186.0,8319.0,Cooperative,96.849,0.923,104.92849,60.0,1.0,MRO,0.0,318886.0,253.0,0.0,253.0,2364.0,2855.0,0.0,0.08115919713344433,0.0,0.08115919713344433,0.7583412728200094,55.05206324720401
2019.0,Haywood Electric Member Corp,NC,291977.0,27124.0,8333.0,Cooperative,599.765,4.918,121.95303,38.0,0.0,SERC,0.0,322140.0,360.935,3.56,364.495,0.0,438.0,1.0,0.12361761371614888,0.0012192741209067837,0.12483688783705565,0.0,1.6148060758000293
2019.0,"Holy Cross Electric Assn, Inc",CO,1218050.0,57934.0,8773.0,Cooperative,72.5,0.78,92.948718,52.0,0.0,WECC,420634.0,1225378.0,492.767,0.0,499.768,7695.49,18.0,41.098,0.04045540002462953,0.0,0.04103017117523911,0.6317876934444399,0.0310698380916215
