name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
"Jo-Carroll Energy, Inc",IL,426380.0,20726.0,9750.0,Cooperative,63,0.65,96.923077,104.0,104.0,MRO,45.0,439292.0,MISO,0.0,0.0,0.0,701.0,1417.0,0.0,0.0,0.0,0.16440733617899525,0.0,6.836823313712245
Johnson County Rural E M C,IN,511410.0,27698.0,9778.0,Cooperative,37.057,0.819,45.246642,40.0,0.0,RFC,0.0,532771.0,MISO,101.82,0.082,101.902,1274.0,2.0,32.0,0.01990966152402182,0.019925695625818814,0.24911519133376353,0.0062572104573629765,0.007220737959419453
Evergy Metro,MO,8404298.0,291626.0,10000.0,Investor Owned,91.38,0.977,93.531218,470.0,0.0,SPP,16027949.0,5502645.0,SWPP,11126.258,0.364,11126.622,96719.796,35969.0,606.57,0.13238771400062205,0.13239204511786706,1.1508372977731156,0.0072173785365535585,12.333948276216798
Kentucky Utilities Co,KY,17855711.0,528336.0,10171.0,Investor Owned,98.4,0.954,103.14465,1115.0,0.0,SERC,19080426.0,1584940.0,LGEE,313.029,0.0,313.029,50581.684,71609.0,0.0,0.0017531029708086115,0.0017531029708086115,0.2832801449351415,0.0,13.553685533448412
Lincoln Electric System,NE,3187004.0,141650.0,11018.0,Municipal,13.5,0.22,61.363636,185.0,184.0,MRO,1393025.0,3093686.0,SWPP,0.0,0.0,0.0,16340.0,1741.0,0.0,0.0,0.0,0.512707232246963,0.0,1.229085774797035
Los Angeles Department of Water & Power,CA,21530203.0,1447371.0,11208.0,Municipal,112.84,0.78,144.66667,2360.0,1704.0,WECC,21437466.0,3726632.0,LDWP,169882.509,0.0,169882.509,353242.0,10.0,254.18,0.7890427647152235,0.7890427647152235,1.6406812327779723,0.0011805740986278671,0.0006909078598369043
Louisville Gas & Electric Co,KY,11655309.0,415853.0,11249.0,Investor Owned,85.03,1.17,72.675214,619.0,0.0,SERC,13202617.0,955222.0,LGEE,210.749,0.327,211.076,58229.0,84547.0,0.0,0.001808180289342822,0.001810985877766089,0.49959207430708186,0.0,20.33098234231808
Lyon Rural Electric Coop,IA,113253.0,2253.0,11298.0,Cooperative,50.76,0.66,76.909091,27.0,0.0,MRO,0.0,125289.0,SWPP,0.0,0.0,0.0,148.0,1015.0,0.0,0.0,0.0,0.13068086496604947,0.0,45.05104305370617
Magic Valley Electric Coop Inc,TX,2393607.0,121528.0,11501.0,Cooperative,140.408,.,.,124.0,4.0,TRE,0.0,2503501.0,ERCO,0.0,0.0,0.0,65.0,789.0,3.835,0.0,0.0,0.0027155669247290806,0.00016021844855901575,0.6492330985451912
Menard Electric Coop,IL,208596.0,10929.0,12395.0,Cooperative,203.313,2.087,97.418783,55.0,34.0,RFC,0.0,225659.0,MISO,107.682,4.566,112.248,263.21,2234.0,259.36,0.05162227463613876,0.05381119484553874,0.12618171009990603,0.12433603712439358,20.441028456400403
