year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,pv_pct,wind_pct,nm_pct,circuit_pct
2019.0,Cherryland Electric Coop Inc,MI,397436.0,36075.0,3436.0,Cooperative,74.906,0.854,87.711944,54.0,0.0,RFC,0.0,414337.0,338.0,1.45,339.45,0.08504513934318986,0.00036483861552551855,0.08540997795871536,0.0
2019.0,Cimarron Electric Coop,OK,684104.0,18076.0,3478.0,Cooperative,58,0.588,98.639456,70.0,40.0,SPP,0.0,708005.0,0.065,0.0,0.065,9.501479307239836e-06,0.0,9.501479307239836e-06,57.14285714285714
2019.0,Chillicothe Municipal Utils,MO,98004.0,4708.0,3486.0,Municipal,19.589,0.45,43.531111,21.0,4.0,SPP,5323.0,108480.0,0.0,0.0,0.0,0.0,0.0,0.0,19.047619047619047
2019.0,"Choctawhatche Elec Coop, Inc",FL,906973.0,53439.0,3502.0,Cooperative,67.127,0.875,76.716571,80.0,70.0,SERC,0.0,963837.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5
2019.0,"Choptank Electric Cooperative, Inc",MD,1021343.0,54590.0,3503.0,Cooperative,197.6,1.64,120.4878,116.0,113.0,RFC,0.0,1079340.0,0.0,0.0,0.0,0.0,0.0,0.0,97.41379310344827
2019.0,Duke Energy Ohio Inc,OH,4009677.0,290522.0,3542.0,Investor Owned,96,0.87,110.34483,784.0,511.0,RFC,0.0,5356682.0,0.0,0.0,0.0,0.0,0.0,0.0,65.17857142857143
2019.0,Citizens Electric Corporation - (MO),MO,1645183.0,27307.0,3600.0,Cooperative,96,.,.,103.0,0.0,SERC,0.0,1671156.0,178.984,3.357,182.341,0.010879276044063184,0.0002040502485133873,0.011083326292576572,0.0
2019.0,City of Nixa - (MO),MO,159554.0,10779.0,3634.0,Municipal,63.479,0.721,88.042996,16.0,0.0,SPP,0.0,173202.0,0.198,0.0,0.198,0.00012409591736966795,0.0,0.00012409591736966795,0.0
2019.0,PUD No 1 of Clark County - (WA),WA,4514170.0,213948.0,3660.0,Political Subdivision,28.2,0.34,82.941176,194.0,19.0,WECC,1746284.0,3673168.0,5408.98,8.92,5420.41,0.11982224860827129,0.00019760000177219733,0.12007545130112511,9.793814432989691
2019.0,Clark Energy Coop Inc - (KY),KY,429562.0,26782.0,3687.0,Cooperative,175.969,1.707,103.0867,76.0,0.0,SERC,0.0,451191.0,84.24,0.0,84.24,0.019610673197349857,0.0,0.019610673197349857,0.0
2019.0,Clearwater Power Company,ID,175388.0,9677.0,3739.0,Cooperative,677.036,2.737,247.36427,36.0,0.0,WECC,0.0,213902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Cleveland Electric Illum Co,OH,2130363.0,190043.0,3755.0,Investor Owned,130.468,1.019,128.03533,1087.0,997.0,RFC,0.0,2236070.0,0.0,0.0,0.0,0.0,0.0,0.0,91.72033118675253
2019.0,"Clay Electric Cooperative, Inc",FL,3349589.0,177752.0,3757.0,Cooperative,158.92,2.1,75.67619,182.0,0.0,FRCC,0.0,3502209.0,223.656,0.0,223.656,0.006677117700111865,0.0,0.006677117700111865,0.0
2019.0,City of Cleveland - (OH),OH,1589110.0,73600.0,3762.0,Municipal,218.44,2.01,108.67662,276.0,0.0,RFC,5439.0,1745484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Cloverland Electric Co-op,MI,716233.0,42471.0,3828.0,Cooperative,324.8,2.28,142.45614,98.0,0.0,RFC,226829.0,527810.0,56.101,19.36,76.814,0.00783278625810316,0.002703030996896261,0.010724722262168874,0.0
2019.0,Coast Electric Power Assn,MS,1776192.0,83541.0,3841.0,Cooperative,23.17,.,.,124.0,0.0,SERC,0.0,1858901.0,555.401,0.0,555.401,0.03126919837495045,0.0,0.03126919837495045,0.0
2019.0,Coastal Electric Member Corp,GA,514295.0,20207.0,3843.0,Cooperative,123.3,1.92,64.21875,35.0,35.0,SERC,0.0,532184.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,"Coastal Electric Coop, Inc",SC,176420.0,11683.0,3844.0,Cooperative,152.6,1.63,93.619632,36.0,36.0,SERC,0.0,186899.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,Cobb Electric Membership Corp,GA,4084683.0,210960.0,3916.0,Cooperative,32.7,0.54,60.555556,199.0,192.0,SERC,0.0,4178536.0,258.063,0.0,258.063,0.006317821970517663,0.0,0.006317821970517663,96.4824120603015
2019.0,City of Colorado Springs - (CO),CO,4702325.0,235098.0,3989.0,Municipal,40.926,0.743,55.0821,225.0,168.0,WECC,4729941.0,642343.0,0.0,0.0,0.0,0.0,0.0,0.0,74.66666666666667
2019.0,Columbia Power Coop Assn Inc,OR,23422.0,1926.0,4008.0,Cooperative,101,.,.,4.0,0.0,WECC,0.0,26293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Columbia Rural Elec Assn, Inc",WA,343259.0,5945.0,4041.0,Cooperative,170.583,1.418,120.29831,35.0,0.0,WECC,0.0,370926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,City of Columbia - (MO),MO,1143673.0,50676.0,4045.0,Municipal,44.87,0.808,55.532178,61.0,34.0,SERC,29645.0,1196684.0,872.54,0.0,872.54,0.07629278648704656,0.0,0.07629278648704656,55.73770491803278
2019.0,Co-Mo Electric Coop Inc,MO,456514.0,31658.0,4063.0,Cooperative,112.1,.,.,69.0,0.0,SERC,0.0,484213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,City of Columbus - (OH),OH,834464.0,15700.0,4065.0,Municipal,218.08,2.27,96.070485,60.0,0.0,RFC,0.0,905428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
