name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,wind_pct
Strawberry Electric Serv Dist,UT,58946.0,3896.0,18206.0,Political Subdivision,.,.,.,17.0,6.0,WECC,0.0,62136.0,PACE,241.274,2.445,243.719,,,,
City of Sturgeon Bay - (WI),WI,145783.0,8959.0,18249.0,Municipal,.,.,.,18.0,0.0,MISO,0.0,151461.0,MISO,0.0,0.0,0.0,,,,
Sulphur Springs Valley E C Inc,AZ,843618.0,52220.0,18280.0,Cooperative,61.4,0.57,107.7193,84.0,0.0,WECC,55533.0,906458.0,WALC,0.0,0.0,0.0,1858.23,797.0,55.0,
"Sumter Electric Coop, Inc",FL,3467634.0,210815.0,18304.0,Cooperative,.,.,.,200.0,0.0,FRCC,0.0,3572878.0,SEC,6449.0,0.0,6449.0,123.0,14.0,158.0,
Superior Water and Light Co,WI,784218.0,14952.0,18336.0,Investor Owned,29.66,0.22,134.81818,14.0,0.0,MRO,0.0,796348.0,,,,,,,,
Surry-Yadkin Elec Member Corp,NC,366587.0,27055.0,18339.0,Cooperative,164,0.929,176.53391,70.0,4.0,SERC,0.0,391941.0,,,,,12290.0,,,
Suwannee Valley Elec Coop Inc,FL,534811.0,26681.0,18360.0,Cooperative,160,2.719,58.845164,41.0,0.0,FRCC,0.0,561898.0,SEC,231.803,0.0,231.803,131.0,,,
Taylor Electric Coop - (WI),WI,69237.0,4414.0,18383.0,Cooperative,29.88,.,.,48.0,0.0,MRO,48.0,73320.0,MISO,85.529,0.0,85.529,343.0,2008.0,0.0,
Sylacauga Utilities Board,AL,199836.0,6125.0,18395.0,Municipal,.,.,.,24.0,24.0,SERC,0.0,202949.0,,,,,,,,
"Sun River Electric Coop, Inc",MT,93704.0,5913.0,18401.0,Cooperative,.,.,.,41.0,0.0,WECC,0.0,103042.0,WAUW,76.08,0.0,76.08,,,,
City of Tacoma - (WA),WA,4665640.0,182234.0,18429.0,Municipal,51.25,0.5,102.5,185.0,46.0,WECC,1582551.0,4670510.0,TPWR,4545.9,0.0,4545.9,33307.024,,,
City of Tallahassee - (FL),FL,2716250.0,119197.0,18445.0,Municipal,.,.,.,262.0,0.0,FRCC,2906451.0,78075.0,TAL,0.0,0.0,0.0,6273.647,4.0,0.0,
T I P Rural Electric Coop,IA,155206.0,6458.0,18446.0,Cooperative,155.614,1.331,116.9151,21.0,0.0,MRO,0.0,164088.0,MISO,87.261,0.034,87.295,,,,
