name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,wind_pct
City of Azusa,CA,248413.0,16058.0,1050.0,Municipal,.,.,.,20.0,0.0,WECC,0.0,348307.0,CISO,0.0,0.0,0.0,5478.0,,,
BARC Electric Coop Inc,VA,179686.0,12800.0,1062.0,Cooperative,375.25,2.66,141.07143,43.0,0.0,SERC,778.0,193046.0,PJM,0.0,0.0,0.0,,2232.0,0.0,
Baldwin County El Member Corp,AL,1476269.0,78775.0,1149.0,Cooperative,75.868,1.048,72.39313,97.0,97.0,SERC,0.0,1532713.0,,,,,,,,
Baltimore Gas & Electric Co,MD,12506681.0,965643.0,1167.0,Investor Owned,81.781,0.84,97.358333,1566.0,628.0,RFC,0.0,14754342.0,PJM,0.0,0.0,0.0,459516.583,758207.0,2871.225,
Bamberg Board of Public Works,SC,45866.0,2058.0,1170.0,Municipal,1.394,0.026,53.615385,6.0,0.0,SERC,0.0,47450.0,,,,,,,,
"Bandera Electric Coop, Inc",TX,641687.0,37131.0,1175.0,Cooperative,45.636,0.499,91.45491,54.0,2.0,TRE,0.0,698555.0,ERCO,2000.0,0.0,2000.0,,,,
Versant Power,ME,319065.0,35456.0,1179.0,Investor Owned,302,1.956,154.39673,242.0,242.0,NPCC,0.0,1662537.0,ISNE,0.0,0.0,0.0,,,,
City of Barnesville - (MN),MN,21704.0,1531.0,1233.0,Municipal,.,.,.,7.0,5.0,MRO,0.0,24795.0,,,,,172.3,952.0,9.101,
Barron Electric Coop,WI,332559.0,18850.0,1251.0,Cooperative,144.72,1.07,135.25234,37.0,0.0,MRO,122.0,352789.0,MISO,0.0,0.0,0.0,1144.0,6371.0,0.0,
"Bartlett Electric Coop, Inc",TX,213033.0,12169.0,1273.0,Cooperative,97.6,0.55,177.45455,30.0,0.0,TRE,0.0,225338.0,ERCO,77.095,0.0,77.095,14.994,,,
Bartholomew County Rural E M C,IN,412163.0,11693.0,1283.0,Cooperative,75.59,0.74,102.14865,37.0,0.0,RFC,0.0,421962.0,MISO,0.0,0.0,0.0,,,,
"Barton Village, Inc",VT,13565.0,2158.0,1299.0,Municipal,.,.,.,2.0,0.0,NPCC,4119.0,11455.0,ISNE,0.0,0.0,0.0,,,,
City of Bartow - (FL),FL,288665.0,12453.0,1300.0,Municipal,.,.,.,17.0,0.0,FRCC,0.0,302908.0,FPC,19.195,0.0,19.195,,,,
"Barton County Elec Coop, Inc",MO,157055.0,6569.0,1301.0,Cooperative,.,.,.,7.0,0.0,SERC,0.0,166537.0,AECI,0.0,0.0,0.0,,,,
City of Bay City - (MI),MI,306720.0,20243.0,1366.0,Municipal,99.986,0.822,121.63747,33.0,0.0,RFC,1725.0,320607.0,,,,,2698.0,,,
Town of Bedford - (VA),VA,205962.0,6694.0,1456.0,Municipal,121.24,.,.,23.0,0.0,RFC,14536.0,206761.0,,,,,,,,
"Beauregard Electric Coop, Inc",LA,1357039.0,43675.0,1458.0,Cooperative,.,.,.,61.0,61.0,SERC,0.0,1405302.0,MISO,0.0,0.0,0.0,,,,
Town of Belmont - (MA),MA,121377.0,11685.0,1523.0,Municipal,127.16,0.73,174.19178,30.0,15.0,NPCC,0.0,127977.0,ISNE,1253.27,0.0,1253.27,,,,
"Beltrami Electric Coop, Inc",MN,373623.0,21213.0,1529.0,Cooperative,77.694,0.909,85.471947,75.0,0.0,MRO,0.0,513068.0,MISO,175.0,0.0,175.0,3406.0,7608.0,1308.995,
Town of Benson - (NC),NC,37536.0,1997.0,1571.0,Municipal,.,.,.,2.0,0.0,SERC,0.0,38825.0,,,,,,,,
PUD No 1 of Benton County,WA,1766171.0,54581.0,1579.0,Political Subdivision,27.5,0.21,130.95238,141.0,0.0,WECC,0.0,2281679.0,BPAT,2501.0,8.698,2509.698,8640.0,,,
"Big Country Electric Coop, Inc",TX,265798.0,13049.0,1591.0,Cooperative,.,.,.,51.0,0.0,TRE,0.0,290326.0,ERCO,0.0,0.0,0.0,,,,
Berkeley Electric Coop Inc,SC,3290736.0,104044.0,1613.0,Cooperative,160.4,1.48,108.37838,193.0,193.0,SERC,0.0,3359797.0,SC,0.0,0.0,0.0,592.8,18746.0,0.0,
Town of Berlin - (MD),MD,46311.0,2590.0,1615.0,Municipal,128.04,2.09,61.263158,3.0,3.0,RFC,51.0,48933.0,PJM,0.0,0.0,0.0,,,,
Benton Rural Electric Assn,WA,562534.0,14559.0,1625.0,Cooperative,.,.,.,54.0,0.0,WECC,0.0,592395.0,BPAT,2145.63,0.59,2146.22,,,,
Big Horn Rural Electric Co,WY,108431.0,3775.0,1675.0,Cooperative,.,.,.,13.0,0.0,WECC,0.0,134559.0,WACM,0.0,0.0,50.338,,,,
Big Sandy Rural Elec Coop Corp,KY,215043.0,12759.0,1708.0,Cooperative,452.27,3.66,123.57104,36.0,0.0,RFC,0.0,227583.0,,,,,,,,
"Big Bend Electric Coop, Inc",WA,535908.0,9469.0,1723.0,Cooperative,.,.,.,56.0,0.0,WECC,0.0,572840.0,BPAT,0.0,0.0,0.0,4078.805,,,
Blachly-Lane County Coop El Assn,OR,171292.0,3631.0,1736.0,Cooperative,.,.,.,21.0,0.0,WECC,0.0,178939.0,BPAT,52.801,0.0,52.801,494.25,,,
"Black River Electric Coop, Inc - (SC)",SC,704689.0,32714.0,1763.0,Cooperative,.,.,.,108.0,0.0,SERC,0.0,726867.0,SC,25.132,0.0,25.132,0.0,,,
"Black Hills Electric Coop, Inc",SD,153893.0,10265.0,1769.0,Cooperative,68.68,0.45,152.62222,39.0,0.0,WECC,0.0,166233.0,SWPP,81.303,0.822,82.125,,505.0,4.9,
Black River Electric Coop - (MO),MO,471953.0,24382.0,1775.0,Cooperative,375.47,.,.,62.0,0.0,SERC,0.0,496058.0,AECI,0.0,1.94,1.94,,,,
City of Blooming Prairie - (MN),MN,25999.0,1014.0,1871.0,Municipal,137.77,1.02,135.06863,6.0,3.0,MRO,0.0,26665.0,,,,,,,,
Blue Earth Light & Water,MN,53970.0,2282.0,1883.0,Municipal,.,.,.,10.0,10.0,MRO,131.0,54664.0,,,,,,623.0,0.5,
BENCO Electric Cooperative,MN,385922.0,18828.0,1884.0,Cooperative,.,.,.,115.0,97.0,MRO,0.0,398225.0,MISO,0.0,0.0,0.0,,,,
Blue Grass Energy Coop Corp,KY,1340847.0,58968.0,1886.0,Cooperative,130.193,1.139,114.30465,136.0,0.0,RFC,0.0,1398957.0,PJM,0.0,0.0,0.0,,,,
Blue Ridge Elec Member Corp - (NC),NC,1100595.0,76823.0,1889.0,Cooperative,71.38,0.97,73.587629,104.0,62.0,SERC,0.0,1379444.0,DUK,1177.312,0.0,1177.312,99.2,20605.0,1.91,
Blue Ridge Electric Coop Inc - (SC),SC,1089406.0,66733.0,1890.0,Cooperative,133.72,.,.,148.0,0.0,SERC,0.0,1141592.0,DUK,16.361,0.0,16.361,,,,
"Bluebonnet Electric Coop, Inc",TX,2325557.0,101157.0,1892.0,Cooperative,102.569,1.119,91.661305,224.0,173.0,TRE,0.0,2480040.0,ERCO,0.0,0.0,0.0,,,,
Bolivar Energy Authority,TN,222219.0,11084.0,1936.0,Municipal,51.37,0.5,102.74,22.0,22.0,SERC,0.0,237098.0,,,,,,,,
Boone Electric Coop,MO,571186.0,32869.0,2001.0,Cooperative,52.25,0.66,79.166667,63.0,61.0,SERC,0.0,595213.0,AECI,478.865,0.0,478.865,,,,
"Bowie-Cass Electric Coop, Inc",TX,642083.0,37907.0,2049.0,Cooperative,.,.,.,110.0,0.0,SPP,0.0,691495.0,SWPP,0.0,0.0,0.0,,,,
City of Bowling Green - (OH),OH,525820.0,14695.0,2054.0,Municipal,3.176,0.039,81.435897,32.0,15.0,RFC,0.0,543672.0,,,,,,,,
City of Bowling Green - (KY),KY,896186.0,30897.0,2056.0,Municipal,52.707,0.974,54.113963,49.0,49.0,SERC,0.0,922008.0,,,,,,,,
Bozrah Light & Power Company,CT,212269.0,2781.0,2089.0,Municipal,176.11,1.69,104.2071,4.0,0.0,NPCC,0.0,215742.0,,,,,141.0,,,
Town of Braintree - (MA),MA,334033.0,16720.0,2144.0,Municipal,11.55,0.19,60.789474,23.0,23.0,NPCC,14932.0,344191.0,ISNE,0.0,0.0,0.0,,,,
Village of Brewster - (OH),OH,54729.0,942.0,2205.0,Municipal,.,.,.,4.0,0.0,RFC,0.0,56675.0,,,,,229.0,,,
"Broad River Electric Coop, Inc",SC,389925.0,21661.0,2212.0,Cooperative,.,.,.,47.0,47.0,SERC,0.0,418284.0,DUK,33.331,0.0,33.331,,,,
City of Bristol - (TN),TN,880581.0,33732.0,2247.0,Municipal,56.976,0.94,60.612766,64.0,52.0,SERC,0.0,919693.0,,,,,,,,
Bristol Virginia Utilities,VA,455125.0,16345.0,2248.0,Municipal,15.895,0.486,32.705761,36.0,0.0,SERC,0.0,473707.0,,,,,,,,
Brown County Rural Elec Assn,MN,137179.0,4540.0,2316.0,Cooperative,.,.,.,55.0,0.0,MRO,0.0,141496.0,MISO,0.0,0.0,0.0,,,,
Brownsville Public Utilities Board,TX,1268887.0,50413.0,2409.0,Municipal,14.262,0.128,111.42188,57.0,5.0,TRE,1336881.0,488815.0,ERCO,0.26,0.0,0.26,,,,
City of Bryan - (OH),OH,176440.0,5822.0,2439.0,Municipal,39.8,0.64,62.1875,13.0,0.0,RFC,15873.0,180829.0,,,,,,,,
City of Bryan - (TX),TX,1507428.0,60942.0,2442.0,Municipal,.,.,.,93.0,0.0,TRE,152867.0,2034079.0,ERCO,0.0,0.0,0.0,1574.997,,,
City of Buffalo - (MN),MN,111361.0,6097.0,2485.0,Municipal,.,.,.,12.0,12.0,MRO,0.0,117313.0,,,,,,,,
"Buckeye Rural Elec Coop, Inc",OH,245186.0,18533.0,2502.0,Cooperative,494.49,2.18,226.83028,52.0,0.0,RFC,0.0,256552.0,,,,,,,,
City of Burbank Water and Power,CA,1060549.0,53298.0,2507.0,Municipal,.,.,.,115.0,0.0,WECC,465843.0,1186505.0,LDWP,0.0,0.0,0.0,10757.0,,,
City of Burlington Electric - (VT),VT,322601.0,21187.0,2548.0,Municipal,.,.,.,16.0,16.0,NPCC,146937.0,209433.0,ISNE,2204.301,0.0,2204.301,3855.0,,,
"Butler Rural El Coop Assn, Inc - (KS)",KS,133183.0,7575.0,2641.0,Cooperative,102,1.49,68.456376,35.0,14.0,SPP,0.0,142114.0,SWPP,0.0,0.0,0.0,,7575.0,0.0,
Butler Rural Electric Coop Inc - (OH),OH,215489.0,11456.0,2651.0,Cooperative,110.38,1.33,82.992481,49.0,0.0,RFC,0.0,226390.0,PJM,194.975,0.029,195.004,,,,
Butler County Rural Elec Coop - (IA),IA,220949.0,5085.0,2652.0,Cooperative,.,.,.,76.0,23.0,MRO,0.0,284000.0,SWPP,0.846,0.0,0.846,,,,
"Butte Electric Coop, Inc",SD,105858.0,6249.0,2655.0,Cooperative,.,.,.,27.0,6.0,MRO,0.0,110758.0,,,,,5.0,1518.0,977.0,
City of Calhoun - (GA),GA,374782.0,5475.0,2812.0,Municipal,33.288,0.795,41.871698,22.0,17.0,SERC,0.0,385312.0,SOCO,24.598,0.0,24.598,,,,
Central Electric Power Assn - (MS),MS,878746.0,36723.0,2849.0,Cooperative,.,.,.,80.0,0.0,SERC,0.0,920718.0,,,,,,,,
"Canadian Valley Elec Coop, Inc",OK,781535.0,25135.0,2911.0,Cooperative,174.2,1.194,145.89615,74.0,74.0,SPP,0.0,822489.0,,,,,,,,
Canby Utility Board,OR,190580.0,7597.0,2955.0,Municipal,.,.,.,8.0,0.0,WECC,0.0,197044.0,PGE,0.0,0.0,0.0,260.315,,,
"Caney Fork Electric Coop, Inc",TN,600068.0,32696.0,2960.0,Cooperative,.,.,.,26.0,0.0,SERC,0.0,627426.0,,,,,,,,
"Caney Valley El Coop Assn, Inc",KS,59756.0,5301.0,2961.0,Cooperative,.,.,.,23.0,0.0,SPP,0.0,64780.0,SWPP,0.089,0.0,0.089,,,,
Cape Hatteras Elec Member Corp,NC,131659.0,7770.0,2982.0,Cooperative,249.99,3.47,72.043228,14.0,14.0,SERC,0.0,136366.0,PJM,0.0,0.0,0.0,,,,
"Capital Electric Coop, Inc",ND,372296.0,21058.0,2985.0,Cooperative,.,.,.,90.0,90.0,MRO,0.0,387155.0,,,,,,6562.0,0.0,
"Carbon Power & Light, Inc",WY,110450.0,6330.0,2998.0,Cooperative,291.6,1.98,147.27273,35.0,0.0,WECC,0.0,120095.0,WACM,35.25,1.19,36.44,,,,
Duke Energy Progress - (NC),NC,37893975.0,1431264.0,3046.0,Investor Owned,149,1.29,115.50388,1049.0,1049.0,SERC,60548978.0,9989520.0,CPLE,0.0,0.0,0.0,442347.23,12093.0,0.0,
Duke Energy Progress - (NC),SC,6297009.0,169885.0,3046.0,Investor Owned,147,1.39,105.7554,167.0,167.0,,,,CPLE,0.0,0.0,0.0,77144.525,36.0,0.0,
"Carroll Electric Coop, Inc - (OH)",OH,157528.0,11899.0,3076.0,Cooperative,.,.,.,34.0,0.0,RFC,0.0,167624.0,,,,,,,,
Carroll Electric Member Corp - (GA),GA,1099710.0,51760.0,3081.0,Cooperative,114.08,1.35,84.503704,89.0,81.0,SERC,0.0,1140918.0,SOCO,0.0,0.0,0.0,,,,
Carroll Electric Coop Corp - (AR),AR,1904785.0,90670.0,3093.0,Cooperative,93.98,1.23,76.406504,164.0,0.0,SPP,0.0,2176374.0,SWPP,0.0,0.0,0.0,,,,
Carroll Electric Coop Corp - (AR),MO,145889.0,12214.0,3093.0,Cooperative,109.03,1.43,76.244755,19.0,0.0,,,,,,,,,,,
City of Carthage - (MO),MO,291898.0,7771.0,3113.0,Municipal,22.555,0.667,33.815592,17.0,16.0,SPP,971.0,303419.0,SPA,87.751,0.0,87.751,,,,
Cedar Falls Utilities,IA,485361.0,19525.0,3203.0,Municipal,.,.,.,23.0,23.0,MRO,270161.0,546194.0,MISO,0.0,0.0,0.0,9573.0,,,
Cedarburg Light & Water Comm,WI,105714.0,6434.0,3208.0,Municipal,.,.,.,12.0,12.0,MISO,0.0,106957.0,MISO,0.0,0.0,0.0,,,,
Central Alabama Electric Coop,AL,701306.0,43783.0,3222.0,Cooperative,152.8,.,.,76.0,76.0,SERC,0.0,740911.0,AEC,28.762,0.0,28.762,,3477.0,1.1,
"Central Rural Electric Cooperative, Inc",OK,582968.0,22017.0,3226.0,Cooperative,162.86,1.89,86.169312,65.0,65.0,,,,AECI,0.0,0.0,0.0,,,,
"Central Florida Elec Coop, Inc",FL,502468.0,33942.0,3245.0,Cooperative,182.75,.,.,54.0,21.0,FRCC,0.0,525018.0,SEC,311.932,0.0,594.632,69.0,,,
Central Georgia El Member Corp,GA,1298781.0,58745.0,3248.0,Cooperative,79.06,1.041,75.946206,76.0,76.0,SERC,0.0,1342854.0,SOCO,41.588,0.0,41.588,214.0,3478.0,288.0,
Central Hudson Gas & Elec Corp,NY,2595474.0,258976.0,3249.0,Investor Owned,.,.,.,276.0,0.0,NPCC,78630.0,2653509.0,NYIS,0.0,0.0,0.0,79221.0,3066.0,56.954,
Central Electric Membership Corp. - (NC),NC,428558.0,23098.0,3250.0,Cooperative,189.487,.,.,30.0,0.0,SERC,0.0,447357.0,,,,,,,,
Central Lincoln People's Ut Dt,OR,1267467.0,39901.0,3264.0,Political Subdivision,.,.,.,237.0,6.0,WECC,0.0,1295763.0,BPAT,0.055,0.0,0.055,8766.0,,,
Cleco Power LLC,LA,8279117.0,288161.0,3265.0,Investor Owned,.,.,.,782.0,0.0,SPP,12010587.0,110506.0,MISO,0.0,0.0,0.0,,,,
Central Maine Power Co,ME,4662655.0,533057.0,3266.0,Investor Owned,189.8,1.53,124.05229,477.0,0.0,NPCC,0.0,4894567.0,ISNE,33958.3,72.471,36939.52,,,,
Central Missouri Elec Coop Inc,MO,336626.0,10908.0,3268.0,Cooperative,137.036,.,.,43.0,0.0,SERC,0.0,347176.0,AECI,0.0,0.0,0.0,,,,
"Central New Mexico El Coop, Inc",NM,220799.0,17986.0,3273.0,Cooperative,.,.,.,35.0,0.0,WECC,0.0,247903.0,PNM,0.0,0.0,0.0,,,,
"Central Texas Elec Coop, Inc",TX,665644.0,41905.0,3282.0,Cooperative,125.5,1.17,107.26496,62.0,0.0,,,,ERCO,0.0,0.0,0.0,,,,
"Central Valley Elec Coop, Inc",NM,821352.0,15328.0,3287.0,Cooperative,335.691,2.082,161.23487,95.0,95.0,SPP,0.0,889883.0,SWPP,20.771,0.0,20.771,1068.138,,,
Central Virginia Electric Coop,VA,748861.0,37484.0,3291.0,Cooperative,251,2.42,103.71901,85.0,0.0,SERC,0.0,796626.0,PJM,0.0,0.0,0.0,,,,
Central Wisconsin Elec Coop,WI,101362.0,8006.0,3293.0,Cooperative,.,.,.,26.0,0.0,MRO,0.0,110139.0,MISO,0.0,0.0,0.0,,,,
City of Centralia - (WA),WA,258189.0,10381.0,3295.0,Municipal,187.995,1.212,155.11139,30.0,30.0,WECC,64114.0,205175.0,BPAT,0.0,0.0,0.0,701.0,,,
"Chariton Valley Elec Coop, Inc",IA,97234.0,6047.0,3314.0,Cooperative,161,1.64,98.170732,35.0,0.0,SERC,0.0,101738.0,,,,,,,,
Borough of Chambersburg,PA,310104.0,11135.0,3329.0,Municipal,20.44,.,.,34.0,6.0,RFC,4464.0,324024.0,PJM,0.0,0.0,0.0,,,,
City of Chanute,KS,273865.0,5597.0,3355.0,Municipal,.,.,.,7.0,7.0,SPP,174781.0,292776.0,,,,,,,,
City of Chaska - (MN),MN,374350.0,10488.0,3400.0,Municipal,.,.,.,16.0,0.0,MRO,0.0,388005.0,MISO,39.0,0.0,39.0,5692.0,,,
City of Chattanooga - (TN),TN,5553948.0,176336.0,3408.0,Municipal,76.21,0.62,122.91935,299.0,296.0,SERC,0.0,5923799.0,,,,,,,,
PUD No 1 of Chelan County,WA,1720632.0,51507.0,3413.0,Political Subdivision,.,.,.,117.0,0.0,WECC,7602399.0,4340854.0,CHPD,139.41,0.0,139.41,16200.257,,,
City of Cheney - (WA),WA,148540.0,5798.0,3420.0,Municipal,56.384,0.309,182.47249,7.0,0.0,WECC,0.0,168745.0,AVA,0.0,0.0,0.0,673.212,,,
Cherryland Electric Coop Inc,MI,397436.0,36075.0,3436.0,Cooperative,74.906,0.854,87.711944,54.0,0.0,RFC,0.0,414337.0,MISO,338.0,1.45,339.45,,,,
Cheyenne Light Fuel & Power d/b/a Black,WY,1676751.0,43318.0,3461.0,Investor Owned,46.06,1.274,36.153846,43.0,0.0,,,,WACM,0.0,0.0,0.0,4675.0,,,
Cherokee County Elec Coop Assn,TX,409324.0,21018.0,3470.0,Cooperative,.,.,.,35.0,0.0,TRE,156.0,451949.0,ERCO,71.0,0.0,71.0,,,,
City of Chicopee - (MA),MA,454426.0,26347.0,3477.0,Municipal,.,.,.,16.0,16.0,NPCC,5185.0,369028.0,,,,,2487.756,,,
Cimarron Electric Coop,OK,684104.0,18076.0,3478.0,Cooperative,58,0.588,98.639456,70.0,40.0,SPP,0.0,708005.0,SWPP,0.065,0.0,0.065,,,,
Chillicothe Municipal Utils,MO,98004.0,4708.0,3486.0,Municipal,19.589,0.45,43.531111,21.0,4.0,SPP,5323.0,108480.0,SWPP,0.0,0.0,0.0,,,,
"Choctawhatche Elec Coop, Inc",FL,906973.0,53439.0,3502.0,Cooperative,67.127,0.875,76.716571,80.0,70.0,SERC,0.0,963837.0,AEC,0.0,0.0,0.0,88.17,53437.0,0.0,
"Choptank Electric Cooperative, Inc",MD,1021343.0,54590.0,3503.0,Cooperative,197.6,1.64,120.4878,116.0,113.0,RFC,0.0,1079340.0,PJM,0.0,0.0,0.0,4.1,204.0,0.0,
Chugach Electric Assn Inc,AK,1055695.0,81532.0,3522.0,Cooperative,.,.,.,95.0,0.0,AK,960771.0,250874.0,CEA,0.0,0.0,0.0,,,,
Choctaw Electric Coop Inc,OK,476205.0,18987.0,3527.0,Cooperative,.,.,.,55.0,55.0,SPP,0.0,496305.0,SWPP,0.0,0.0,0.0,,,,
Duke Energy Ohio Inc,OH,4009677.0,290522.0,3542.0,Investor Owned,96,0.87,110.34483,784.0,511.0,RFC,0.0,5356682.0,PJM,0.0,0.0,0.0,314256.568,2.0,0.0,
Citizens Electric Co - (PA),PA,120512.0,6965.0,3597.0,Investor Owned,.,.,.,9.0,9.0,RFC,0.0,128556.0,PJM,0.0,0.0,0.0,,,,
Citizens Electric Corporation - (MO),MO,1645183.0,27307.0,3600.0,Cooperative,96,.,.,103.0,0.0,SERC,0.0,1671156.0,MISO,178.984,3.357,182.341,,,,
City of Nixa - (MO),MO,159554.0,10779.0,3634.0,Municipal,63.479,0.721,88.042996,16.0,0.0,SPP,0.0,173202.0,SWPP,0.198,0.0,0.198,,,,
PUD No 1 of Clallam County,WA,638626.0,32237.0,3644.0,Political Subdivision,.,.,.,72.0,15.0,WECC,0.0,677890.0,BPAT,0.0,0.0,0.0,4874.664,,,
City of Claremore,OK,273688.0,12173.0,3647.0,Municipal,62.791,1.077,58.301764,28.0,0.0,SPP,0.0,308497.0,,,,,,,,
PUD No 1 of Clark County - (WA),WA,4514170.0,213948.0,3660.0,Political Subdivision,28.2,0.34,82.941176,194.0,19.0,WECC,1746284.0,3673168.0,BPAT,5408.98,8.92,5420.41,64611.0,,,
Clark Energy Coop Inc - (KY),KY,429562.0,26782.0,3687.0,Cooperative,175.969,1.707,103.0867,76.0,0.0,SERC,0.0,451191.0,PJM,84.24,0.0,84.24,,,,
Clay County Electric Coop Corp,AR,274939.0,12856.0,3712.0,Cooperative,.,.,.,24.0,0.0,SERC,0.0,291642.0,MISO,0.0,0.0,0.0,,,,
Clarke Electric Coop Inc - (IA),IA,111350.0,5433.0,3722.0,Cooperative,.,.,.,35.0,0.0,,,,,,,,,,,
Clay Electric Coop Inc,IL,50953.0,3250.0,3726.0,Cooperative,.,.,.,16.0,16.0,RFC,0.0,54660.0,MISO,0.0,0.0,0.0,,,,
Clearwater Power Company,ID,175388.0,9677.0,3739.0,Cooperative,677.036,2.737,247.36427,36.0,0.0,WECC,0.0,213902.0,AVA,0.0,0.0,0.0,607.763,,,
Cleveland Electric Illum Co,OH,2130363.0,190043.0,3755.0,Investor Owned,130.468,1.019,128.03533,1087.0,997.0,RFC,0.0,2236070.0,PJM,0.0,0.0,0.0,222414.765,4.0,0.0,
"Clay Electric Cooperative, Inc",FL,3349589.0,177752.0,3757.0,Cooperative,158.92,2.1,75.67619,182.0,0.0,FRCC,0.0,3502209.0,SEC,223.656,0.0,223.656,3520.0,7.0,0.0,
City of Cleveland - (TN),TN,1034560.0,31810.0,3758.0,Municipal,50.506,1.059,47.692162,50.0,50.0,SERC,0.0,1063653.0,,,,,,,,
City of Cleveland - (OH),OH,1589110.0,73600.0,3762.0,Municipal,218.44,2.01,108.67662,276.0,0.0,RFC,5439.0,1745484.0,PJM,0.0,0.0,0.0,,,,
Clearwater-Polk Elec Coop Inc,MN,73767.0,4604.0,3764.0,Cooperative,.,.,.,21.0,0.0,MRO,0.0,80525.0,MISO,34.492,0.0,34.492,129.161,1776.0,448.2,
City of Clewiston,FL,99262.0,4111.0,3774.0,Municipal,.,.,.,6.0,0.0,FRCC,0.0,106383.0,,,,,,,,
Clinton Combined Utility Sys,SC,103117.0,4056.0,3804.0,Municipal,.,.,.,6.0,5.0,SERC,0.0,113873.0,,,,,,534.0,0.0,
City of Clinton - (TN),TN,793612.0,29986.0,3812.0,Municipal,104,1.474,70.556309,48.0,42.0,SERC,0.0,819693.0,,,,,,,,
Cloverland Electric Co-op,MI,716233.0,42471.0,3828.0,Cooperative,324.8,2.28,142.45614,98.0,0.0,RFC,226829.0,527810.0,MISO,56.101,19.36,76.814,6455.3,,,
Coast Electric Power Assn,MS,1776192.0,83541.0,3841.0,Cooperative,23.17,.,.,124.0,0.0,SERC,0.0,1858901.0,SOCO,555.401,0.0,555.401,6354.7,,,
Coastal Electric Member Corp,GA,514295.0,20207.0,3843.0,Cooperative,123.3,1.92,64.21875,35.0,35.0,SERC,0.0,532184.0,SOCO,0.0,0.0,0.0,,,,
"Coastal Electric Coop, Inc",SC,176420.0,11683.0,3844.0,Cooperative,152.6,1.63,93.619632,36.0,36.0,SERC,0.0,186899.0,SC,0.0,0.0,0.0,,815.0,10.0,
Columbia Power System,TN,666361.0,29810.0,3855.0,Municipal,131.47,1.318,99.749621,26.0,0.0,SERC,0.0,690813.0,,,,,,,,
City of Cody,WY,114925.0,7747.0,3881.0,Municipal,.,.,.,10.0,3.0,WECC,0.0,117684.0,WACM,17.05,0.0,17.05,,,,
City of Coffeyville - (KS),KS,802368.0,5989.0,3892.0,Municipal,3.835,0.041,93.536585,24.0,0.0,SPP,98810.0,751825.0,,,,,,,,
Coldwater Board of Public Util,MI,509840.0,7233.0,3915.0,Municipal,.,.,.,28.0,22.0,RFC,0.0,516238.0,,,,,5603.0,,,
Cobb Electric Membership Corp,GA,4084683.0,210960.0,3916.0,Cooperative,32.7,0.54,60.555556,199.0,192.0,SERC,0.0,4178536.0,SOCO,258.063,0.0,258.063,,,,
City of College Station - (TX),TX,864590.0,42633.0,3940.0,Municipal,16.8,0.281,59.786477,53.0,53.0,TRE,0.0,913020.0,,,,,2080.0,,,
City of Colorado Springs - (CO),CO,4702325.0,235098.0,3989.0,Municipal,40.926,0.743,55.0821,225.0,168.0,WECC,4729941.0,642343.0,PSCO,0.0,0.0,0.0,30268.845,1389.0,0.0,
Columbia Power Coop Assn Inc,OR,23422.0,1926.0,4008.0,Cooperative,101,.,.,4.0,0.0,WECC,0.0,26293.0,BPAT,0.0,0.0,0.0,,,,
Calhoun County Elec Coop Assn,IA,37617.0,1693.0,4040.0,Cooperative,.,.,.,18.0,0.0,MRO,126.0,46508.0,MISO,0.0,0.0,0.0,0.0,,,
"Columbia Rural Elec Assn, Inc",WA,343259.0,5945.0,4041.0,Cooperative,170.583,1.418,120.29831,35.0,0.0,WECC,0.0,370926.0,BPAT,0.0,0.0,0.0,352.0,,,
City of Columbia - (MO),MO,1143673.0,50676.0,4045.0,Municipal,44.87,0.808,55.532178,61.0,34.0,SERC,29645.0,1196684.0,MISO,872.54,0.0,872.54,6595.0,9.0,0.0,
Co-Mo Electric Coop Inc,MO,456514.0,31658.0,4063.0,Cooperative,112.1,.,.,69.0,0.0,SERC,0.0,484213.0,AECI,0.0,0.0,0.0,,,,
City of Columbus - (OH),OH,834464.0,15700.0,4065.0,Municipal,218.08,2.27,96.070485,60.0,0.0,RFC,0.0,905428.0,PJM,0.0,0.0,0.0,,22.0,0.0,
City of Columbus - (MS),MS,362686.0,12736.0,4068.0,Municipal,32.324,0.657,49.199391,30.0,0.0,SERC,0.0,375507.0,,,,,,,,
Commonwealth Edison Co,IL,26854515.0,2730588.0,4110.0,Investor Owned,51.332,0.63,81.479365,5619.0,282.0,RFC,0.0,30230565.0,PJM,0.0,0.0,0.0,2097423.0,421465.0,911.0,
Community Electric Coop,VA,194922.0,11204.0,4117.0,Cooperative,218.693,1.811,120.75814,25.0,4.0,SERC,0.0,209350.0,PJM,0.0,0.0,0.0,,1603.0,24.202,
Concho Valley Elec Coop Inc,TX,443646.0,15030.0,4146.0,Cooperative,451.8,3.46,130.57803,55.0,0.0,TRE,0.0,460923.0,ERCO,232.337,0.631,232.968,,,,
City of Concord - (NC),NC,925514.0,31957.0,4150.0,Municipal,33.64,0.52,64.692308,66.0,0.0,SERC,0.0,970686.0,,,,,,,,
